Timer Register	4096Hz	64Hz
1	4096.010 	64.000 
2	2048.005 	32.000 
3	1365.336 	21.333 
4	1024.002 	16.000 
5	819.201 	12.800 
6	682.667 	10.667 
7	585.143 	9.143 
8	511.999 	8.000 
9	455.110 	7.111 
10	409.599 	6.400 
11	372.362 	5.818 
12	341.331 	5.333 
13	315.075 	4.923 
14	292.569 	4.571 
15	273.064 	4.267 
16	255.997 	4.000 
17	240.938 	3.765 
18	227.552 	3.556 
19	215.575 	3.368 
20	204.796 	3.200 
21	195.043 	3.048 
22	186.177 	2.909 
23	178.082 	2.783 
24	170.661 	2.667 
25	163.834 	2.560 
26	157.533 	2.462 
27	151.698 	2.370 
28	146.279 	2.286 
29	141.235 	2.207 
30	136.526 	2.133 
31	132.122 	2.065 
32	127.993 	2.000 
33	124.113 	1.939 
34	120.463 	1.882 
35	117.020 	1.829 
36	113.769 	1.778 
37	110.694 	1.730 
38	107.780 	1.684 
39	105.016 	1.641 
40	102.390 	1.600 
41	99.893 		1.561 
42	97.514 		1.524 
43	95.246 		1.488 
44	93.080 		1.455 
45	91.011 		1.422 
46	89.032 		1.391 
47	87.138 		1.362 
48	85.322 		1.333 
49	83.580 		1.306 
50	81.908 		1.280 
51	80.301 		1.255 
52	78.757 		1.231 
53	77.270 		1.208 
54	75.839 		1.185 
55	74.459 		1.164 
56	73.129 		1.143 
57	71.846 		1.123 
58	70.607 		1.103 
59	69.410 		1.085 
60	68.252 		1.067 
61	67.133 		1.049 
62	66.050 		1.032 
63	65.001 		1.016 
64	63.985 		1.000 
65	63.000 		0.985 
66	62.045 		0.970 
67	61.118 	0.955 
68	60.219 	0.941 
69	59.346 	0.928 
70	58.497 	0.914 
71	57.673 	0.901 
72	56.871 	0.889 
73	56.092 	0.877 
74	55.333 	0.865 
75	54.595 	0.853 
76	53.876 	0.842 
77	53.176 	0.831 
78	52.494 	0.821 
79	51.829 	0.810 
80	51.181 	0.800 
81	50.548 	0.790 
82	49.931 	0.780 
83	49.329 	0.771 
84	48.742 	0.762 
85	48.168 	0.753 
86	47.607 	0.744 
87	47.059 	0.736 
88	46.524 	0.727 
89	46.001 	0.719 
90	45.489 	0.711 
91	44.989 	0.703 
92	44.499 	0.696 
93	44.020 	0.688 
94	43.552 	0.681 
95	43.093 	0.674 
96	42.643 	0.667 
97	42.203 	0.660 
98	41.772 	0.653 
99	41.350 	0.646 
100	40.936 	0.640 
101	40.530 	0.634 
102	40.132 	0.627 
103	39.742 	0.621 
104	39.359 	0.615 
105	38.984 	0.610 
106	38.616 	0.604 
107	38.254 	0.598 
108	37.900 	0.593 
109	37.551 	0.587 
110	37.210 	0.582 
111	36.874 	0.577 
112	36.544 	0.571 
113	36.220 	0.566 
114	35.902 	0.561 
115	35.589 	0.557 
116	35.282 	0.552 
117	34.980 	0.547 
118	34.683 	0.542 
119	34.391 	0.538 
120	34.104 	0.533 
121	33.822 	0.529 
122	33.544 	0.525 
123	33.271 	0.520 
124	33.002 	0.516 
125	32.738 	0.512 
126	32.477 	0.508 
127	32.221 	0.504 
128	31.969 	0.500 
129	31.721 	0.496 
130	31.476 	0.492 
131	31.235 	0.489 
132	30.998 	0.485 
133	30.765 	0.481 
134	30.535 	0.478 
135	30.308 	0.474 
136	30.085 	0.471 
137	29.864 	0.467 
138	29.648 	0.464 
139	29.434 	0.460 
140	29.223 	0.457 
141	29.015 	0.454 
142	28.810 	0.451 
143	28.609 	0.448 
144	28.409 	0.444 
145	28.213 	0.441 
146	28.019 	0.438 
147	27.828 	0.435 
148	27.640 	0.432 
149	27.454 	0.430 
150	27.270 	0.427 
151	27.089 	0.424 
152	26.910 	0.421 
153	26.734 	0.418 
154	26.560 	0.416 
155	26.388 	0.413 
156	26.218 	0.410 
157	26.051 	0.408 
158	25.886 	0.405 
159	25.722 	0.403 
160	25.561 	0.400 
161	25.402 	0.398 
162	25.244 	0.395 
163	25.089 	0.393 
164	24.936 	0.390 
165	24.784 	0.388 
166	24.634 	0.386 
167	24.486 	0.383 
168	24.340 	0.381 
169	24.195 	0.379 
170	24.053 	0.376 
171	23.912 	0.374 
172	23.772 	0.372 
173	23.634 	0.370 
174	23.498 	0.368 
175	23.363 	0.366 
176	23.230 	0.364 
177	23.098 	0.362 
178	22.968 	0.360 
179	22.839 	0.358 
180	22.712 	0.356 
181	22.586 	0.354 
182	22.461 	0.352 
183	22.338 	0.350 
184	22.216 	0.348 
185	22.095 	0.346 
186	21.976 	0.344 
187	21.858 	0.342 
188	21.741 	0.340 
189	21.626 	0.339 
190	21.512 	0.337 
191	21.398 	0.335 
192	21.287 	0.333 
193	21.176 	0.332 
194	21.066 	0.330 
195	20.958 	0.328 
196	20.850 	0.327 
197	20.744 	0.325 
198	20.639 	0.323 
199	20.534 	0.322 
200	20.431 	0.320 
201	20.329 	0.318 
202	20.228 	0.317 
203	20.128 	0.315 
204	20.029 	0.314 
205	19.930 	0.312 
206	19.833 	0.311 
207	19.737 	0.309 
208	19.642 	0.308 
209	19.547 	0.306 
210	19.454 	0.305 
211	19.361 	0.303 
212	19.269 	0.302 
213	19.178 	0.300 
214	19.088 	0.299 
215	18.999 	0.298 
216	18.910 	0.296 
217	18.823 	0.295 
218	18.736 	0.294 
219	18.650 	0.292 
220	18.565 	0.291 
221	18.480 	0.290 
222	18.396 	0.288 
223	18.313 	0.287 
224	18.231 	0.286 
225	18.150 	0.284 
226	18.069 	0.283 
227	17.989 	0.282 
228	17.909 	0.281 
229	17.831 	0.279 
230	17.753 	0.278 
231	17.675 	0.277 
232	17.599 	0.276 
233	17.523 	0.275 
234	17.447 	0.274 
235	17.372 	0.272 
236	17.298 	0.271 
237	17.225 	0.270 
238	17.152 	0.269 
239	17.080 	0.268 
240	17.008 	0.267 
241	16.937 	0.266 
242	16.867 	0.264 
243	16.797 	0.263 
244	16.727 	0.262 
245	16.659 	0.261 
246	16.590 	0.260 
247	16.523 	0.259 
248	16.456 	0.258 
249	16.389 	0.257 
250	16.323 	0.256 
251	16.257 	0.255 
252	16.192 	0.254 
253	16.128 	0.253 
254	16.064 	0.252 
255	16.001 	0.251 
